first_name,last_name,email,phone,age,city,occupation,education,course_interest,lead_source,budget,preferred_schedule,previous_ai_experience,interaction_count,assigned_sales_rep,days_since_created,purchased,status,payment_status
יובל,מזרחי,0.יובל.מזרחי@example.com,0513696091,36.0,רמת גן,אחר,תואר שני,AI Agents,Instagram,2340.0,בוקר,1,1,מאיה בר,118,0,Lost,pending
טל,אוחיון,1.טל.אוחיון@example.com,0545216975,24.0,פתח תקווה,מפתח תוכנה,דוקטורט,Machine Learning,Website,6770.0,ערב,1,2,מאיה בר,83,1,Won,paid
שני,ביטון,2.שני.ביטון@example.com,0569802629,40.0,רעננה,אחר,תואר שני,AI Agents,Google Ads,6240.0,גמיש,0,1,מאיה בר,127,0,Counseling,pending
אורן,שפירא,3.אורן.שפירא@example.com,0568610978,41.0,תל אביב,אחר,,Python for AI,Event,3160.0,ערב,1,3,מאיה בר,93,1,Won,paid
עומר,רוזן,4.עומר.רוזן@example.com,0555261996,18.0,באר שבע,יזם,תואר שני,Machine Learning,WhatsApp,5900.0,ערב,0,5,מאיה בר,148,0,Counseling,pending
יונתן,פרץ,5.יונתן.פרץ@example.com,0540152152,21.0,חיפה,סטודנט,תואר ראשון,Machine Learning,Website,4740.0,ערב,0,2,יוסי כהן,30,0,Contacted,pending
אורי,פרידמן,6.אורי.פרידמן@example.com,0557456600,34.0,אשדוד,מפתח תוכנה,תואר שני,Machine Learning,Organic,3280.0,ערב,1,4,דנה לוי,156,1,Won,paid
שירה,לוי,7.שירה.לוי@example.com,0579576241,30.0,רמת גן,מפתח תוכנה,תואר ראשון,Python for AI,Facebook,4440.0,גמיש,0,4,מאיה בר,20,1,Won,paid
ניר,מזרחי,8.ניר.מזרחי@example.com,0597904039,33.0,רעננה,,תיכונית,Python for AI,Facebook,6030.0,גמיש,0,3,מאיה בר,27,1,Won,paid
איתי,רוזן,9.איתי.רוזן@example.com,0533723708,25.0,חיפה,איש מכירות,תיכונית,Machine Learning,Website,3740.0,בוקר,1,2,מאיה בר,151,0,Follow-up,pending
מור,ברק,10.מור.ברק@example.com,0563837002,41.0,הרצליה,אחר,הנדסאי,Machine Learning,Referral,5530.0,"סופ""ש",1,4,יוסי כהן,41,1,Won,paid
רותם,לוי,11.רותם.לוי@example.com,0598810429,40.0,פתח תקווה,מפתח תוכנה,תואר שני,AI Agents,Facebook,3140.0,גמיש,0,3,מאיה בר,6,0,Lost,pending
ליאור,מזרחי,12.ליאור.מזרחי@example.com,0530460801,34.0,תל אביב,מנהל שיווק,תואר שני,Python for AI,Instagram,4010.0,ערב,0,5,יוסי כהן,109,0,Follow-up,pending
שני,אוחיון,13.שני.אוחיון@example.com,0595277054,43.0,הרצליה,מנהל שיווק,תואר שני,Machine Learning,Website,4750.0,גמיש,1,2,דנה לוי,23,1,Won,paid
טל,נחום,14.טל.נחום@example.com,0520732690,37.0,ירושלים,סטודנט,תיכונית,Python for AI,Facebook,2790.0,ערב,1,1,יוסי כהן,23,1,Won,paid
יובל,כהן,15.יובל.כהן@example.com,0537529890,25.0,אשדוד,יזם,תיכונית,Data Science,Google Ads,7410.0,ערב,0,3,אורי שרון,28,0,Counseling,pending
ליאור,כהן,16.ליאור.כהן@example.com,0597478019,36.0,פתח תקווה,מהנדס,הנדסאי,AI Agents,Google Ads,5380.0,גמיש,0,4,יוסי כהן,176,0,Follow-up,pending
גיא,שגב,17.גיא.שגב@example.com,0514581756,24.0,ראשון לציון,מנהל שיווק,תואר ראשון,Data Science,WhatsApp,6090.0,"סופ""ש",1,3,יוסי כהן,31,1,Won,paid
אסף,לוי,18.אסף.לוי@example.com,0546863408,41.0,פתח תקווה,מפתח תוכנה,תואר שני,Data Science,Instagram,4970.0,ערב,1,5,מאיה בר,16,0,Interested,pending
ניר,שפירא,19.ניר.שפירא@example.com,0519592606,33.0,מודיעין,מורה,תואר שני,Machine Learning,Facebook,6890.0,ערב,0,2,דנה לוי,118,0,Contacted,pending
גיא,פרץ,20.גיא.פרץ@example.com,0586989268,31.0,פתח תקווה,מפתח תוכנה,הנדסאי,Prompt Engineering,Facebook,670.0,"סופ""ש",1,4,אורי שרון,117,0,Lost,pending
דור,גבאי,21.דור.גבאי@example.com,0583219382,27.0,תל אביב,אחר,תואר שני,Machine Learning,Facebook,7910.0,"סופ""ש",1,6,אורי שרון,117,0,New,pending
תמר,אשכנזי,22.תמר.אשכנזי@example.com,0587592727,44.0,מודיעין,מהנדס,תואר ראשון,Data Science,Organic,6470.0,ערב,0,2,מאיה בר,95,0,Follow-up,pending
יעל,ביטון,23.יעל.ביטון@example.com,0526086898,32.0,חיפה,מפתח תוכנה,תואר שני,Machine Learning,Google Ads,4140.0,"סופ""ש",0,2,יוסי כהן,77,1,Won,paid
נדב,לוי,24.נדב.לוי@example.com,0555564393,29.0,ראשון לציון,יזם,תואר שני,Machine Learning,Facebook,3370.0,גמיש,1,3,דנה לוי,46,0,Contacted,pending
אורן,כהן,25.אורן.כהן@example.com,0585402861,30.0,הרצליה,איש מכירות,תואר ראשון,Data Science,WhatsApp,5770.0,גמיש,1,0,יוסי כהן,177,0,New,pending
תמר,אוחיון,26.תמר.אוחיון@example.com,0535390966,38.0,תל אביב,מנהל שיווק,תואר שני,AI Agents,Organic,4710.0,ערב,1,2,נועה גל,152,1,Won,paid
מיכל,מזרחי,27.מיכל.מזרחי@example.com,0577234691,,ירושלים,מנהל שיווק,הנדסאי,Data Science,Facebook,6850.0,גמיש,1,5,מאיה בר,160,0,New,pending
ענבר,נחום,28.ענבר.נחום@example.com,0572156901,37.0,הרצליה,אחר,תואר שני,Python for AI,Instagram,2030.0,בוקר,0,0,אורי שרון,157,0,Contacted,pending
אלון,שגב,29.אלון.שגב@example.com,0522442884,37.0,תל אביב,אנליסט,תואר שני,Machine Learning,Organic,7060.0,"סופ""ש",1,5,יוסי כהן,137,1,Won,paid
מור,ברק,30.מור.ברק@example.com,0515916657,52.0,ראשון לציון,יזם,תואר שני,Machine Learning,Referral,1750.0,ערב,1,2,מאיה בר,27,1,Won,paid
רותם,כהן,31.רותם.כהן@example.com,0595000199,29.0,ירושלים,מפתח תוכנה,הנדסאי,AI Automation,WhatsApp,3960.0,גמיש,0,3,דנה לוי,13,1,Won,paid
גלי,שגב,32.גלי.שגב@example.com,0571420295,28.0,חיפה,סטודנט,תואר שני,AI Automation,Facebook,3030.0,גמיש,0,4,נועה גל,75,0,Follow-up,pending
תמר,אשכנזי,33.תמר.אשכנזי@example.com,0585474629,26.0,אשדוד,מהנדס,תיכונית,Machine Learning,Organic,5320.0,גמיש,1,1,נועה גל,67,1,Won,paid
ניר,דהן,34.ניר.דהן@example.com,0549386979,39.0,מודיעין,מעצב,תואר שני,AI Agents,Facebook,7220.0,ערב,0,4,דנה לוי,90,0,Follow-up,pending
אורן,שגב,35.אורן.שגב@example.com,0579964201,43.0,פתח תקווה,מורה,תואר שני,Python for AI,Instagram,5120.0,"סופ""ש",0,2,מאיה בר,37,0,Contacted,pending
נדב,אברהם,36.נדב.אברהם@example.com,0542032695,32.0,חיפה,מפתח תוכנה,תיכונית,Prompt Engineering,Organic,2730.0,ערב,0,6,מאיה בר,144,0,Follow-up,pending
איתי,אברהם,37.איתי.אברהם@example.com,0565631787,25.0,תל אביב,מהנדס,תואר ראשון,AI Agents,Referral,7240.0,ערב,0,4,דנה לוי,91,1,Won,paid
שני,אשכנזי,38.שני.אשכנזי@example.com,0596267896,26.0,באר שבע,סטודנט,תואר ראשון,Prompt Engineering,Facebook,4840.0,גמיש,0,5,נועה גל,131,1,Won,paid
יובל,רוזן,39.יובל.רוזן@example.com,0510633709,39.0,הרצליה,יזם,תואר שני,Machine Learning,Instagram,8260.0,"סופ""ש",1,4,יוסי כהן,45,1,Won,paid
נועה,פרידמן,40.נועה.פרידמן@example.com,0548753538,40.0,אשדוד,אנליסט,תיכונית,Python for AI,Organic,,"סופ""ש",1,4,אורי שרון,46,0,Counseling,pending
ליאור,פרץ,41.ליאור.פרץ@example.com,0532130773,38.0,חיפה,יזם,תואר שני,Python for AI,Facebook,4870.0,בוקר,1,1,מאיה בר,48,0,Lost,pending
עומר,רוזן,42.עומר.רוזן@example.com,0513516930,27.0,תל אביב,יזם,דוקטורט,Prompt Engineering,Instagram,4100.0,ערב,0,3,דנה לוי,35,0,Lost,pending
שירה,כהן,43.שירה.כהן@example.com,0561988241,35.0,פתח תקווה,סטודנט,,AI Automation,Facebook,4020.0,בוקר,0,2,דנה לוי,40,0,Lost,pending
יונתן,פרידמן,44.יונתן.פרידמן@example.com,0571247586,34.0,הרצליה,מנהל שיווק,תואר ראשון,Python for AI,Facebook,5150.0,בוקר,1,2,מאיה בר,77,0,Lost,pending
אורי,סלומון,45.אורי.סלומון@example.com,0517381657,35.0,פתח תקווה,סטודנט,תואר ראשון,Data Science,Organic,6360.0,גמיש,0,1,מאיה בר,97,0,Lost,pending
יונתן,דהן,46.יונתן.דהן@example.com,0513101944,41.0,פתח תקווה,מעצב,תיכונית,Prompt Engineering,Facebook,500.0,ערב,0,3,דנה לוי,139,0,Interested,pending
מיכל,דהן,47.מיכל.דהן@example.com,0511409832,35.0,רמת גן,יזם,תואר שני,AI Agents,Website,7320.0,בוקר,0,1,מאיה בר,93,0,Lost,pending
יעל,דהן,48.יעל.דהן@example.com,0563875894,39.0,תל אביב,מהנדס,תיכונית,AI Automation,Referral,2580.0,ערב,1,3,דנה לוי,3,1,Won,paid
ענבר,גבאי,49.ענבר.גבאי@example.com,0592010807,34.0,נתניה,מפתח תוכנה,תואר ראשון,Data Science,Facebook,3490.0,ערב,1,1,מאיה בר,105,0,Contacted,pending
יובל,ברק,50.יובל.ברק@example.com,0565809886,36.0,תל אביב,מפתח תוכנה,תיכונית,Python for AI,Website,8150.0,בוקר,1,4,נועה גל,0,1,Won,paid
איתי,אברהם,51.איתי.אברהם@example.com,0554833870,39.0,תל אביב,אנליסט,תואר שני,Python for AI,Instagram,,גמיש,1,1,דנה לוי,34,0,New,pending
רותם,כהן,52.רותם.כהן@example.com,0598362143,20.0,תל אביב,מפתח תוכנה,תואר ראשון,Data Science,Organic,7320.0,בוקר,0,3,נועה גל,70,1,Won,paid
אסף,אוחיון,53.אסף.אוחיון@example.com,0557359490,30.0,נתניה,יזם,תואר ראשון,Data Science,Organic,4610.0,בוקר,1,2,יוסי כהן,162,0,Interested,pending
אורן,רוזן,54.אורן.רוזן@example.com,0535043001,29.0,מודיעין,אנליסט,תיכונית,AI Automation,Organic,2880.0,ערב,0,6,מאיה בר,78,0,Contacted,pending
תמר,לוי,55.תמר.לוי@example.com,0570390764,27.0,תל אביב,מפתח תוכנה,תואר ראשון,Python for AI,Google Ads,2380.0,"סופ""ש",1,4,נועה גל,143,1,Won,paid
